,time,open,high,low,close,tick_volume,spread,real_volume
239,2021-09-15,1803.86,1806.94,1790.75,1793.73,71910,5,0
240,2021-09-16,1794.12,1796.2,1745.24,1752.72,92224,5,0
241,2021-09-17,1753.57,1767.47,1747.38,1753.92,93996,5,0
242,2021-09-20,1754.22,1767.05,1742.07,1764.82,96288,5,0
243,2021-09-21,1764.46,1781.69,1757.97,1773.89,77017,5,0
244,2021-09-22,1774.86,1787.21,1764.72,1767.99,95213,5,0
245,2021-09-23,1768.62,1776.56,1737.43,1742.48,94004,5,0
246,2021-09-24,1744.64,1757.71,1740.49,1749.72,73477,5,0
247,2021-09-27,1749.81,1760.82,1744.84,1750.15,90252,5,0
248,2021-09-28,1750.67,1754.49,1728.1,1733.53,109052,5,0
249,2021-09-29,1734.2,1745.48,1721.65,1726.46,99056,5,0
250,2021-09-30,1726.64,1764.12,1722.24,1757.16,101418,5,0
251,2021-10-01,1755.82,1764.28,1749.77,1760.15,93635,5,0
252,2021-10-04,1760.79,1770.5,1747.79,1769.35,94390,5,0
253,2021-10-05,1768.61,1769.33,1748.66,1759.87,84128,5,0
254,2021-10-06,1760.02,1765.03,1745.95,1762.87,94004,5,0
255,2021-10-07,1762.95,1766.91,1751.97,1754.91,76394,5,0
256,2021-10-08,1755.94,1781.27,1753.45,1757.1,95076,5,0
257,2021-10-11,1756.97,1760.97,1750.18,1754.11,75370,5,0
